CLAVE_UNICA,NOM_LOC,POBTOT,SCORE_REZAGO,GRADO_REZAGO,LAT_DECIMAL,LON_DECIMAL
200150015,Pochotlillo,107,7.7591161129,Medio,16.502551,-96.611436
200150020,Paredón Amarillo,66,7.9778281231,Medio,16.504748,-96.580535
200150021,Loma del Chilillo,53,6.1646640677,Bajo,16.551309,-96.676149
200150022,Las Salinitas,25,7.834887457,Medio,16.499473,-96.577159
200150023,Tierra Blanca,87,8.3672547702,Medio,16.529917,-96.661459
200150025,Loma Cuarta,40,8.8557348209,Medio,16.549254,-96.68756
200150026,Río Sabino (Tercera Sección),35,6.3335154946,Bajo,16.548906,-96.65945
200160001,Coicoyán de las Flores,2293,7.6043796807,Medio,17.272898,-98.276094
200160002,Coyul,1055,6.6654446586,Bajo,17.177117,-98.195376
200160003,El Jicaral,1378,5.6703452363,Bajo,17.125915,-98.196559
200160004,Rancho Pastor,406,6.0574600191,Bajo,17.252694,-98.246158
200160005,Santiago Tilapa,828,6.209488598,Bajo,17.259622,-98.262994
200160006,Tierra Colorada,869,6.7347908325,Bajo,17.152581,-98.197281
200160007,La Trinidad,469,5.7102335865,Bajo,17.31033,-98.261066
200160009,Zaragoza,24,4.7693136051,Bajo,17.262811,-98.232249
200160010,Llano Encino Amarillo,533,6.8272841062,Bajo,17.219805,-98.191464
200160012,Río Alumbrado,253,5.6609278126,Bajo,17.19494,-98.198685
200160014,Cerro de Aire (Yucutachi),177,6.2138937478,Bajo,17.196298,-98.184086
200160015,El Arenal,14,5.437941461,Bajo,17.289287,-98.255397
200160016,Los Ángeles,155,5.5698456117,Bajo,17.269626,-98.212802
200160017,Yutiotoso,116,5.5461529037,Bajo,17.181446,-98.204904
200160018,Lázaro Cárdenas,430,6.7946063542,Bajo,17.253383,-98.209898
200160019,Barrio San José,88,6.2756131735,Bajo,17.276272,-98.279685
200160020,Loma Flor,95,5.8437174886,Bajo,17.247091,-98.211193
200160021,San Antonio Benito Juárez,213,5.4759033129,Bajo,17.161443,-98.198932
